Printed_gathering,Handwriting_order,Date,Poem_title,TitleID,InkID,Setup,File_operation,XRF_spot,w(Si_K),w(P_K),w(S_K),w(Cl_K),w(Ar_K),w(K_K),w(Ca_K),w(Ti_K),w(Mn_K),w(Fe_K),w(Ni_K),w(Cu_K),w(Zn_K),w(Rh_L),Si_K,P_K,S_K,Cl_K,Ar_K,K_K,Ca_K,Ti_K,Mn_K,Fe_K,Ni_K,Cu_K,Zn_K,Rh_L,Si_K / Fe_K,P_K / Fe_K,S_K / Fe_K,Cl_K / Fe_K,K_K / Fe_K,Ca_K / Fe_K,Ti_K / Fe_K,Mn_K / Fe_K,Ni_K / Fe_K,Cu_K / Fe_K,Zn_K / Fe_K
A,2nd,1687,The Miracle,2,0,ink section 2 - paper,7_s3 - 7_s2,7_s3,-0.07133,0.0242,-0.43184,0.07859,-0.10188,0.00932,-0.0136,-0.00189,0.01863,0.81873,0.00219,0.16788,0.02055,-0.26907,-160.909,58.868,-3635.96,867.51,-137.3,763.21,1507.4,34.21,992.66,45913.86,129.5717,9994.33,1179.23,-696.5,-0.0035,0.00128,-0.07919,0.01889,0.01662,0.03283,7.45E-04,0.02162,0.00282,0.21768,0.02568
A,2nd,1687,The Miracle,2,0,ink - paper,8_s1 - 8_s2,8_s1,-0.04043,0.01369,0.42342,-0.06289,-0.12584,0.09106,0.42761,0.00122,0.01027,0.29973,-7.07E-04,0.03911,0.00631,0.03846,-75.747,46.7794,3105.34,-709.67,-683.8,1762.81,10481.06,63.697,527.947,16737.02,-44.654,2373.247,370.3,83.21,-0.00453,0.00279,0.18554,-0.0424,0.10532,0.62622,0.00381,0.03154,-0.00267,0.1418,0.02212
A,2nd,1687,The Miracle,2,0,ink section 1 - paper,9_s1 - 9_s2,9_s1,-0.05449,0.04672,0.23746,-0.05738,-0.13127,0.14634,0.39894,-9.84E-04,0.01212,0.67395,-9.13E-04,0.09942,0.00927,-0.10428,-108.504,157.9475,1554.32,-539.49,-352.25,2942.55,10413.03,31.462,644.86,37794.43,-58.4971,5915.52,518.64,-446.29,-0.00287,0.00418,0.04113,-0.01427,0.07786,0.27552,8.32E-04,0.01706,-0.00155,0.15652,0.01372
A,2nd,1687,A  Paper Put in the K's Shoo / A Paper Found on the K's Twallite,3,0,ink section 1 - paper,10_s1 - 10_s2,10_s1,0.024,0.01449,0.30236,-0.15629,-0.15253,0.1303,0.27716,0.001,0.01815,0.37298,8.28E-04,0.07056,0.00781,-0.04883,10.731,42.432,2118.35,-1537.7,-602.85,2636.54,7095.25,77.432,937.84,20858.32,47.4741,4246.281,447.43,-311.32,5.14E-04,0.00203,0.10156,-0.07372,0.1264,0.34016,0.00371,0.04496,0.00228,0.20358,0.02145
A,2nd,1688,To the P of Orange: A Paquet of Advice,4,0,ink section 3 - paper,10_s3 - 10_s2,10_s3,0.01087,0.02173,0.11935,-0.09177,-0.22092,0.3679,0.55066,0.00134,0.0256,1.16047,0.0013,0.17941,0.01815,-0.23493,-23.893,54.007,699.95,-736.75,-634.77,7734.8,14621.55,132.09,1339.44,64878.12,71.0911,10512.901,1022.22,-891.4,-3.68E-04,8.32E-04,0.01079,-0.01136,0.11922,0.22537,0.00204,0.02065,0.0011,0.16204,0.01576
A,2nd,1688,To the P of Orange: A Paquet of Advice,4,0,ink - paper,13_s1 - 13_s2,13_s1,0.05952,0.02557,0.30931,0.03801,-0.05855,0.10182,0.47701,-0.00486,0.01299,0.46485,-0.00216,0.04261,0.00873,-0.3574,74.3573,86.585,2216.32,249.33,91.11,2104.79,12005.77,-111.562,675.78,25953.24,-136.36276,2562.918,505.799,-2461.23,0.00287,0.00334,0.0854,0.00961,0.0811,0.46259,-0.0043,0.02604,-0.00525,0.09875,0.01949
A,2nd,1688,The Paquet Boat Returned,5,0,ink - paper,14_s1 - 14_s2,14_s1,-0.0334,0.03127,0.00661,-0.06943,-0.17414,0.42739,0.45498,-0.00738,0.01815,1.3386,0.00212,0.22147,0.0122,-0.23298,-85.526,81.519,-188.35,-460.8,-465.62,9014.68,12405.72,-153.084,977.35,75006.97,123.2315,12934.134,653.35,-549.91,-0.00114,0.00109,-0.00251,-0.00614,0.12018,0.16539,-0.00204,0.01303,0.00164,0.17244,0.00871
A,2nd,1688,The Paquet Boat Returned,5,0,ink section 1 - paper,17_s1 - 17_s2,17_s1,-0.02753,0.00457,0.11351,-0.05498,-0.12645,0.08742,0.24197,1.10E-04,0.01198,0.31824,0.00153,0.02447,0.0065,-0.06655,-63.073,7.137,758.63,-473.22,-422.4,1782.41,6329.72,37.593,618.57,17734.85,91.0184,1461.645,371.613,-133.15,-0.00356,4.02E-04,0.04278,-0.02668,0.1005,0.35691,0.00212,0.03488,0.00513,0.08242,0.02095
A,2nd,1692-93,The Gentleman at Large Litany,6,1,ink section 2 - paper,17_s3 - 17_s2,17_s3,-0.00339,0.01075,0.16526,0.25463,-0.08804,0.06322,0.50503,0.00267,0.0131,0.30048,-7.25E-04,-0.00568,0.00375,-0.05491,-21.587,36.001,1246.74,2521.26,-421.76,1223.62,12318.52,104.451,665.74,16710.15,-45.62361,-356.136,215.273,-47.27,-0.00129,0.00215,0.07461,0.15088,0.07323,0.73719,0.00625,0.03984,-0.00273,0,0.01288
A,2nd,1692-93,The Gentleman at Large Litany,6,1,ink - paper,18_s1 - 18_s2,18_s1,-0.04058,0.0045,0.0354,-0.14531,-0.10785,0.03922,0.41885,0.00106,0.00507,0.4414,-7.75E-04,0.00108,0.00128,-0.10418,-86.805,3.08,188.2,-1405.11,372.65,1134.06,11249.76,69.418,261.49,24456.15,-52.4081,57.245,44.52,-286.01,-0.00355,1.26E-04,0.0077,-0.05745,0.04637,0.46,0.00284,0.01069,-0.00214,0.00234,0.00182
A,2nd,1692-93,The Gentleman at Large Litany,6,1,ink section 1 - paper,19_s1 - 19_s2,19_s1,-0.02715,0.01494,0.21334,-0.08493,-0.03227,-0.0052,0.19195,-0.00197,0.00138,0.06877,-0.00191,-0.00561,-0.00217,-0.00889,-47.03,59.279,1531.31,-733.01,-136.43,13.85,4481.57,-60.904,70.43,3866.45,-120.3888,-351.929,-136.571,-135.8,-0.01216,0.01533,0.39605,-0.18958,0.00358,1.15909,-0.01575,0.01822,-0.03114,0,-0.03532
A,2nd,1692-93,To the Tune of Chivie Chace,7,1,ink section 2 - paper,19_s3 - 19_s2,19_s3,0.02486,0.03666,0.30035,-0.21145,-0.0767,0.01097,0.33547,-0.0035,0.00612,0.14818,-0.0011,-0.00659,-9.79E-04,0.0619,23.348,141.634,2041.27,-1717.3,-124.39,486.7,8083.87,-110.865,307.74,8286.64,-70.1926,-415.455,-68.875,476.74,0.00282,0.01709,0.24633,-0.20724,0.05873,0.97553,-0.01338,0.03714,-0.00847,0,-0.00831
A,2nd,1692-93,To the Tune of Chivie Chace,7,1,ink - paper,20_s1 - 20_s2,20_s1,-0.00384,0.00924,-0.09511,0.10853,-0.07242,-0.0406,0.2347,-4.11E-04,0.00434,0.3072,0.00216,-0.00214,-0.00273,-0.11785,-32.803,22.683,-807.47,1180.85,-179.59,-512.15,6413.91,19.617,230.05,17109.32,131.39936,-138.337,-188.939,-93.58,-0.00192,0.00133,-0.04719,0.06902,-0.02993,0.37488,0.00115,0.01345,0.00768,0,-0.01104
A,2nd,1692-93,To the Tune of Chivie Chace,7,1,ink - paper,23_s1 - 23_s2,23_s1,0.00467,0.08669,0.9238,0.03302,-0.1696,0.11407,0.82861,0.00217,0.02621,0.50025,-0.00116,0.00362,0.01173,-0.20479,-8.935,333.964,6686.74,-63.95,-1421.84,2187.25,19795.11,105.062,1339.458,28040.441,-73.471,217.884,709.235,-1797.44,-3.19E-04,0.01191,0.23847,-0.00228,0.078,0.70595,0.00375,0.04777,-0.00262,0.00777,0.02529
A,2nd,1692-93,To the Tune of Chivie Chace,7,1,ink section 1 - paper,24_s1 - 24_s3,24_s1,-0.01548,0.04477,0.35877,-0.06726,-0.06832,0.07422,0.36554,-0.00428,0.00815,0.32199,-7.28E-04,0.00136,0.00265,-0.03942,-48.034,167.2431,2610.34,-1120.04,-246.96,1447.7,8957.82,-99.076,434.46,18046.68,-46.8433,80.853,146.185,-639.33,-0.00266,0.00927,0.14464,-0.06206,0.08022,0.49637,-0.00549,0.02407,-0.0026,0.00448,0.0081
A,2nd,1692-93,Mrs Butler to Mrs Bracegirdle,8,2,ink section 2 - paper,24_s2 - 24_s3,24_s2,-0.04866,0.07263,0.43784,-0.02909,-0.17629,0.15821,0.40724,-0.00395,0.00656,0.29998,-1.07E-04,0.02576,0.0055,-0.15219,-92.548,279.9271,3143.77,-976.51,-1413.44,2883.56,9697.02,-90.828,353.91,16835.68,-8.1377,1579.62,323.355,-1601.14,-0.0055,0.01663,0.18673,-0.058,0.17128,0.57598,-0.00539,0.02102,-4.83E-04,0.09383,0.01921
A,2nd,1692-93,Mrs Butler to Mrs Bracegirdle,8,2,ink - paper,25_s1 - 25_s2,25_s1,-0.03339,0.01748,-0.06366,0.06374,-0.10947,0.10696,0.1841,0.00508,0.02251,0.377,5.85E-04,0.05367,0.00754,-0.38381,-77.355,60.7255,-644.17,844.62,218.52,2328.2,4665.12,207.123,1156.303,21125.463,34.8384,3219.682,445.453,-1614,-0.00366,0.00287,-0.03049,0.03998,0.11021,0.22083,0.0098,0.05474,0.00165,0.15241,0.02109
A,2nd,1692-93,Mrs Butler to Mrs Bracegirdle,8,2,ink section 1 - paper,27_s1 - 27_s3,27_s1,-0.02933,0.02307,0.31167,0.04591,0.20481,0.06637,0.38308,0.00765,0.01709,0.15726,-2.73E-04,0.0233,0.00723,0.31333,-52.9829,89.1697,2321.96,287.58,2616.18,1295.41,9007.71,253.525,865.061,8780.96,-17.4912,1433.079,435.052,2103.94,-0.00603,0.01015,0.26443,0.03275,0.14752,1.02582,0.02887,0.09852,-0.00199,0.1632,0.04954
